obs	sex	education	job	salary	total_sal	month	career	racial
162	m	16	3	$45,625.00 	$23,250.00 	86	60	0
163	m	15	1	$30,900.00 	$15,000.00 	86	25	0
164	f	15	1	$29,400.00 	$16,500.00 	86	24	0
165	f	15	1	$33,300.00 	$13,500.00 	86	24	0
166	f	12	1	$21,900.00 	$9,750.00 	86	156	0
167	f	12	1	$18,150.00 	$9,750.00 	86	72	0
168	f	16	3	$46,875.00 	$17,250.00 	86	19	0
169	m	12	1	$25,500.00 	$14,400.00 	86	37	1
170	m	12	1	$26,550.00 	$15,000.00 	86	38	1
171	m	12	1	$26,700.00 	$13,500.00 	86	367	1
172	f	15	1	$29,850.00 	$15,000.00 	86	79	1
173	m	20	3	$69,250.00 	$42,480.00 	85	134	0
174	m	8	2	$31,950.00 	$15,000.00 	85	438	0
175	m	8	1	$26,250.00 	$15,600.00 	85	171	0
176	f	16	1	$35,700.00 	$17,250.00 	85	19	0
177	f	12	1	$28,500.00 	$16,500.00 	85	69	0
178	f	12	1	$17,100.00 	$10,200.00 	85	72	0
179	m	12	1	$25,200.00 	$13,050.00 	85	29	1
180	f	12	1	$24,000.00 	$12,750.00 	85	59	1
181	f	12	1	$27,450.00 	$10,200.00 	85	101	1
182	f	12	1	$18,450.00 	$10,200.00 	85	228	1
183	m	15	1	$39,300.00 	$15,750.00 	84	72	0
184	m	15	1	$38,850.00 	$15,000.00 	84	53	0
185	m	8	2	$30,750.00 	$15,000.00 	84	380	0
186	m	15	1	$37,500.00 	$20,400.00 	84	33	0
187	m	16	3	$58,750.00 	$21,750.00 	84	13	0
188	f	12	1	$34,500.00 	$18,750.00 	84	208	0
189	f	12	1	$36,000.00 	$19,980.00 	84	240	0
190	f	8	1	$29,100.00 	$16,500.00 	84	35	0
191	f	12	1	$16,500.00 	$10,200.00 	84	288	0
192	m	12	1	$19,650.00 	$12,750.00 	84	180	1
193	f	12	1	$24,750.00 	$12,000.00 	84	41	1
194	f	15	1	$27,150.00 	$15,750.00 	84	231	1
195	f	12	1	$26,400.00 	$12,750.00 	84	36	1
196	f	16	1	$23,100.00 	$12,000.00 	84	214	1
197	m	15	3	$54,900.00 	$25,500.00 	83	49	0
198	m	19	3	$70,875.00 	$43,500.00 	83	156	0
199	m	16	3	$51,250.00 	$27,480.00 	83	69	0
200	m	17	3	$67,500.00 	$34,980.00 	83	9	0
201	m	12	1	$29,340.00 	$19,500.00 	83	150	0
202	m	15	1	$39,600.00 	$16,500.00 	83	47	0
203	m	12	1	$29,100.00 	$15,000.00 	83	50	0
204	m	15	1	$33,150.00 	$16,500.00 	83	69	0
205	m	16	3	$66,750.00 	$52,500.00 	83	258	0
206	m	12	2	$33,750.00 	$15,000.00 	83	284	0
207	m	15	1	$27,300.00 	$17,250.00 	83	91	0
208	f	12	1	$24,000.00 	$11,250.00 	83	16	0
209	f	8	1	$19,800.00 	$10,200.00 	83	75	0
210	m	15	1	$30,600.00 	$16,500.00 	83	216	1
211	m	15	1	$28,950.00 	$15,000.00 	83	108	1
212	m	15	1	$38,400.00 	$16,500.00 	83	64	1
213	m	8	2	$30,750.00 	$15,000.00 	83	302	1
214	f	12	1	$20,400.00 	$10,950.00 	83	9	1
215	f	12	1	$19,200.00 	$11,100.00 	83	7	1
216	m	15	1	$30,150.00 	$15,750.00 	82	72	0
217	m	16	1	$34,620.00 	$27,750.00 	82	149	0
218	m	15	1	$80,000.00 	$15,750.00 	82	34	0
219	m	12	1	$25,350.00 	$15,000.00 	82	32	0
220	m	12	1	$29,850.00 	$15,750.00 	82	85	0
221	f	12	1	$24,000.00 	$13,800.00 	82	97	0
222	f	15	1	$27,750.00 	$19,500.00 	82	265	0
223	f	8	1	$22,350.00 	$10,200.00 	82	48	0
224	f	12	1	$16,200.00 	$10,200.00 	82	0	0
225	f	15	1	$21,900.00 	$12,750.00 	82	0	0
226	f	16	1	$23,250.00 	$15,750.00 	82	4	0
227	f	12	1	$33,900.00 	$12,000.00 	82	11	0
228	f	15	1	$25,650.00 	$14,250.00 	82	51	0
229	f	12	1	$17,250.00 	$10,200.00 	82	358	0
230	m	15	1	$22,500.00 	$15,000.00 	82	371	1
231	m	16	3	$40,200.00 	$21,000.00 	81	3	0
232	m	19	3	$55,500.00 	$33,750.00 	81	62	0
233	m	15	1	$26,550.00 	$15,000.00 	81	52	0
234	m	15	1	$50,550.00 	$19,500.00 	81	44	0
235	m	19	3	$75,000.00 	$31,500.00 	81	13	0
236	f	8	1	$27,450.00 	$12,000.00 	81	9	0
237	f	12	1	$22,650.00 	$11,250.00 	81	0	0
238	f	12	1	$27,300.00 	$11,250.00 	81	5	0
239	f	12	1	$27,750.00 	$11,225.00 	81	5	0
240	f	16	3	$54,375.00 	$18,750.00 	81	81	0
241	f	8	1	$17,400.00 	$10,200.00 	81	390	0
242	f	12	1	$40,800.00 	$18,000.00 	81	4	0
243	f	12	1	$23,100.00 	$10,950.00 	81	0	0
244	f	8	1	$22,500.00 	$10,950.00 	81	5	0
245	f	12	1	$26,700.00 	$11,550.00 	81	18	0
246	f	12	1	$24,900.00 	$11,250.00 	81	0	0
247	f	12	1	$19,650.00 	$10,950.00 	81	11	0
248	f	12	1	$22,050.00 	$10,950.00 	81	9	0
249	f	12	1	$25,500.00 	$12,000.00 	81	11	0
250	f	15	1	$28,200.00 	$12,750.00 	81	19	0
251	f	12	1	$23,100.00 	$11,250.00 	81	13	0
252	m	12	1	$25,500.00 	$11,400.00 	81	9	1
253	f	8	1	$17,100.00 	$10,200.00 	81	0	1
254	m	18	3	$68,125.00 	$32,490.00 	80	29	0
255	m	12	2	$30,600.00 	$15,750.00 	80	460	0
256	m	19	3	$52,125.00 	$27,480.00 	80	221	0
257	m	19	3	$61,875.00 	$36,750.00 	80	199	0
258	m	8	1	$21,300.00 	$11,550.00 	80	24	0
259	f	12	1	$19,650.00 	$11,250.00 	80	5	0
260	f	12	1	$22,350.00 	$11,250.00 	80	5	0
261	f	12	1	$23,400.00 	$11,250.00 	80	18	0
262	f	12	1	$24,300.00 	$10,950.00 	80	8	0
263	f	12	1	$28,500.00 	$11,250.00 	80	4	0
264	f	12	1	$19,950.00 	$11,250.00 	80	8	0
265	f	12	1	$23,400.00 	$11,250.00 	80	0	0
266	f	16	1	$34,500.00 	$17,250.00 	80	3	0
267	f	12	1	$18,150.00 	$10,950.00 	80	0	0
268	m	12	1	$22,350.00 	$15,000.00 	80	272	1
269	m	15	1	$40,200.00 	$17,250.00 	79	38	0
270	m	15	1	$28,650.00 	$18,000.00 	79	261	0
271	m	15	1	$27,750.00 	$16,500.00 	79	55	0
272	m	18	1	$66,875.00 	$31,980.00 	79	30	0
273	m	12	2	$30,000.00 	$15,750.00 	79	308	0
274	m	16	3	$83,750.00 	$21,750.00 	79	12	0
275	m	12	1	$33,900.00 	$16,500.00 	79	94	0
276	m	16	3	$56,500.00 	$21,000.00 	79	12	0
277	f	16	3	$43,000.00 	$17,490.00 	79	20	0
278	f	8	1	$20,850.00 	$12,000.00 	79	70	0
279	f	12	1	$24,450.00 	$12,000.00 	79	8	0
280	f	12	1	$24,750.00 	$10,950.00 	79	5	0
281	m	8	2	$34,500.00 	$15,750.00 	79	246	1
282	m	14	1	$27,900.00 	$15,000.00 	79	47	1
283	m	19	3	$68,125.00 	$32,010.00 	78	35	0
284	m	19	3	$73,500.00 	$33,000.00 	78	45	0
285	m	8	2	$30,750.00 	$15,750.00 	78	429	0
286	m	15	3	$40,050.00 	$25,500.00 	78	133	0
287	m	16	1	$40,350.00 	$19,500.00 	78	20	0
288	m	15	3	$38,700.00 	$23,730.00 	78	176	0
289	m	17	3	$65,000.00 	$30,750.00 	78	26	0
290	m	18	3	$51,450.00 	$36,240.00 	78	149	0
291	m	12	2	$35,250.00 	$15,750.00 	78	387	0
292	m	14	1	$25,950.00 	$15,000.00 	78	53	0
293	m	15	1	$25,050.00 	$14,250.00 	78	24	0
294	m	12	1	$26,700.00 	$12,750.00 	78	25	0
295	m	8	1	$24,000.00 	$15,750.00 	78	476	0
296	m	12	1	$26,850.00 	$15,000.00 	78	48	0
297	f	12	1	$23,400.00 	$15,300.00 	78	209	0
298	f	12	1	$24,600.00 	$13,500.00 	78	47	0
299	f	15	1	$32,550.00 	$18,000.00 	78	6	0
300	m	16	1	$26,550.00 	$15,000.00 	78	105	1
301	m	12	1	$31,500.00 	$13,500.00 	78	7	1
302	m	8	1	$22,350.00 	$15,000.00 	78	320	1
303	m	12	2	$35,250.00 	$15,750.00 	78	281	1
304	f	15	1	$25,800.00 	$13,500.00 	78	51	1
305	m	12	2	$30,750.00 	$15,750.00 	77	317	0
306	m	15	1	$30,750.00 	$16,500.00 	77	41	0
307	m	16	3	$50,000.00 	$32,490.00 	77	264	0
308	m	15	1	$34,500.00 	$18,000.00 	77	63	0
309	m	15	1	$26,250.00 	$15,750.00 	77	38	0
310	m	16	1	$44,875.00 	$21,240.00 	77	22	0
311	f	12	1	$22,500.00 	$12,000.00 	77	63	0
312	f	12	1	$25,650.00 	$14,250.00 	77	64	0
313	f	12	1	$21,300.00 	$11,250.00 	77	0	0
314	f	12	1	$29,850.00 	$13,500.00 	77	38	0
315	f	12	1	$34,500.00 	$12,150.00 	77	4	0
316	m	15	1	$27,750.00 	$15,000.00 	77	52	1
317	m	12	1	$27,750.00 	$11,550.00 	77	12	1
318	m	16	3	$48,750.00 	$21,990.00 	76	61	0
319	m	15	1	$43,410.00 	$15,750.00 	76	12	0
320	m	12	1	$22,050.00 	$15,000.00 	76	385	0
321	f	12	1	$22,050.00 	$12,000.00 	76	6	0
322	f	12	1	$22,500.00 	$14,250.00 	76	90	0
323	f	15	1	$25,500.00 	$12,000.00 	76	7	0
324	f	12	1	$29,160.00 	$15,000.00 	76	22	0
325	f	8	1	$16,800.00 	$10,200.00 	76	76	0
326	m	8	2	$29,550.00 	$15,750.00 	76	144	1
327	m	12	1	$26,700.00 	$15,750.00 	76	18	1
328	m	18	3	$55,000.00 	$32,490.00 	75	125	0
329	m	18	3	$62,500.00 	$34,980.00 	75	74	0
330	m	15	1	$27,300.00 	$17,250.00 	75	132	0
331	f	12	1	$24,450.00 	$12,000.00 	75	144	0
332	f	16	1	$33,000.00 	$18,000.00 	75	26	0
333	f	15	1	$37,050.00 	$18,000.00 	75	5	0
334	f	12	1	$24,450.00 	$10,950.00 	75	32	1
335	m	8	2	$31,950.00 	$15,750.00 	74	408	0
336	m	16	3	$47,250.00 	$21,240.00 	74	45	0
337	f	12	1	$26,100.00 	$11,550.00 	74	2	0
338	f	8	1	$15,900.00 	$10,200.00 	74	43	0
339	f	8	1	$23,700.00 	$10,650.00 	74	281	0
340	f	8	1	$21,750.00 	$12,450.00 	74	318	0
341	m	12	3	$59,400.00 	$33,750.00 	74	272	1
342	f	12	1	$24,450.00 	$14,250.00 	74	117	1
343	m	16	3	$103,500.00 	$60,000.00 	73	150	0
344	m	12	1	$35,700.00 	$16,500.00 	73	72	0
345	f	12	1	$22,200.00 	$16,500.00 	73	7	0
346	f	15	1	$22,950.00 	$13,950.00 	73	22	0
347	f	12	1	$23,100.00 	$12,000.00 	73	228	0
348	f	16	3	$56,750.00 	$30,000.00 	73	15	0
349	f	17	1	$29,100.00 	$12,750.00 	73	375	0
350	f	12	1	$37,650.00 	$15,750.00 	73	132	0
351	f	12	1	$27,900.00 	$13,500.00 	73	32	0
352	f	8	1	$21,150.00 	$12,000.00 	73	159	0
353	m	12	2	$31,200.00 	$15,750.00 	73	155	1
354	f	12	1	$20,550.00 	$11,250.00 	73	154	1
355	m	15	1	$25,950.00 	$17,250.00 	72	83	0
356	m	15	1	$28,350.00 	$15,000.00 	72	48	0
357	f	8	1	$17,700.00 	$10,200.00 	72	184	0
358	f	15	1	$23,550.00 	$13,500.00 	72	49	0
359	f	12	1	$19,950.00 	$10,200.00 	72	56	0
360	f	12	1	$29,400.00 	$15,300.00 	72	30	0
361	f	12	1	$28,800.00 	$13,950.00 	72	18	0
362	f	8	1	$16,950.00 	$10,200.00 	72	319	0
363	m	16	1	$35,700.00 	$18,000.00 	72	138	1
364	f	12	1	$17,400.00 	$10,200.00 	72	116	1
365	f	8	1	$21,450.00 	$10,200.00 	72	194	1
366	f	12	1	$24,750.00 	$12,000.00 	72	68	1
367	f	12	1	$16,950.00 	$10,200.00 	72	271	1
368	f	12	1	$26,100.00 	$13,500.00 	72	169	1
369	m	14	1	$28,050.00 	$15,000.00 	71	15	0
370	f	16	1	$36,600.00 	$18,000.00 	71	12	0
371	f	16	3	$58,125.00 	$18,000.00 	71	11	0
372	m	15	1	$21,300.00 	$15,750.00 	70	372	0
373	m	12	1	$22,500.00 	$16,500.00 	70	216	0
374	m	15	1	$29,400.00 	$15,750.00 	70	15	0
375	m	12	1	$27,450.00 	$14,700.00 	70	41	0
376	m	15	1	$29,850.00 	$15,750.00 	70	48	0
377	m	15	1	$25,350.00 	$15,750.00 	70	56	0
378	f	8	1	$15,750.00 	$10,200.00 	70	275	0
379	f	8	1	$19,650.00 	$13,050.00 	70	102	0
380	f	12	1	$21,000.00 	$13,500.00 	70	82	0
381	m	17	1	$27,000.00 	$18,000.00 	70	192	1
382	m	12	1	$24,000.00 	$15,750.00 	70	120	1
383	m	17	3	$78,500.00 	$28,740.00 	70	67	1
384	f	12	1	$20,850.00 	$13,050.00 	70	127	1
385	m	12	2	$30,000.00 	$15,750.00 	69	348	0
386	m	8	2	$28,500.00 	$15,750.00 	69	174	0
387	m	19	3	$65,000.00 	$31,980.00 	69	74	0
388	m	14	1	$30,150.00 	$16,500.00 	69	110	0
389	m	19	3	$66,875.00 	$32,490.00 	69	81	0
390	f	15	1	$24,150.00 	$13,500.00 	69	7	0
391	f	12	1	$24,450.00 	$12,450.00 	69	12	0
392	f	12	1	$21,600.00 	$12,000.00 	69	0	0
393	f	12	1	$27,900.00 	$12,450.00 	69	0	0
394	f	8	1	$29,100.00 	$12,450.00 	69	17	0
395	f	12	1	$22,650.00 	$11,250.00 	69	2	0
396	f	12	1	$20,850.00 	$11,250.00 	69	0	0
397	f	12	1	$22,950.00 	$12,300.00 	69	5	0
398	f	12	1	$30,600.00 	$12,450.00 	69	5	0
399	f	12	1	$20,400.00 	$11,250.00 	69	0	0
400	f	12	1	$23,850.00 	$12,750.00 	69	20	0
401	f	12	1	$22,800.00 	$11,250.00 	69	0	0
402	f	12	1	$20,700.00 	$11,250.00 	69	2	0
403	f	12	1	$21,300.00 	$11,250.00 	69	3	1
404	f	12	1	$24,300.00 	$15,000.00 	69	121	1
405	f	12	1	$19,650.00 	$13,950.00 	69	133	1
406	m	17	3	$60,000.00 	$32,490.00 	68	17	0
407	m	15	1	$30,300.00 	$15,750.00 	68	55	0
408	m	19	3	$61,250.00 	$33,000.00 	68	9	0
409	m	19	1	$36,000.00 	$19,500.00 	68	21	0
410	f	8	1	$25,200.00 	$18,750.00 	68	344	0
411	f	12	1	$16,200.00 	$10,200.00 	68	180	0
412	f	12	1	$22,800.00 	$11,250.00 	68	2	0
413	f	16	3	$43,500.00 	$19,500.00 	68	11	0
414	m	8	2	$30,300.00 	$15,750.00 	68	155	1
415	m	15	1	$31,950.00 	$15,750.00 	68	70	1
416	m	15	1	$35,250.00 	$13,500.00 	67	6	0
417	m	15	1	$37,800.00 	$15,000.00 	67	36	0
418	m	15	1	$31,200.00 	$15,750.00 	67	46	0
419	m	15	1	$29,400.00 	$16,500.00 	67	68	0
420	m	19	3	$70,000.00 	$35,040.00 	67	75	0
421	m	15	1	$33,900.00 	$15,750.00 	67	96	0
422	m	15	1	$27,150.00 	$16,500.00 	67	78	0
423	f	12	1	$22,200.00 	$13,800.00 	67	196	0
424	f	15	1	$31,350.00 	$11,100.00 	67	47	0
425	f	12	1	$20,850.00 	$13,500.00 	67	181	0
426	m	16	1	$33,300.00 	$17,490.00 	67	120	1
427	m	8	1	$26,250.00 	$16,050.00 	67	97	1
428	m	15	1	$31,950.00 	$15,750.00 	67	58	1
429	m	8	2	$30,000.00 	$15,750.00 	67	305	1
430	m	19	3	$66,250.00 	$34,980.00 	67	99	1
431	m	18	3	$86,250.00 	$45,000.00 	66	50	0
432	m	12	1	$30,750.00 	$15,000.00 	66	56	0
433	m	12	1	$33,540.00 	$15,750.00 	66	47	0
434	m	16	1	$34,950.00 	$20,250.00 	66	55	0
435	m	15	1	$40,350.00 	$16,500.00 	66	80	0
436	m	12	1	$30,270.00 	$15,750.00 	66	80	0
437	m	8	1	$26,250.00 	$16,050.00 	66	264	0
438	m	15	1	$32,400.00 	$15,000.00 	66	64	0
439	f	12	1	$20,400.00 	$11,250.00 	66	0	0
440	f	8	1	$24,150.00 	$12,750.00 	66	96	0
441	f	15	1	$23,850.00 	$13,500.00 	66	122	0
442	f	12	1	$29,700.00 	$13,500.00 	66	26	0
443	f	8	1	$21,600.00 	$13,500.00 	66	228	0
444	f	12	1	$24,450.00 	$15,750.00 	66	87	0
445	m	15	1	$28,050.00 	$16,500.00 	66	84	1
446	m	16	3	$100,000.00 	$44,100.00 	66	128	1
447	m	15	1	$49,000.00 	$20,550.00 	66	86	1
448	f	12	1	$16,350.00 	$10,200.00 	66	163	1
449	m	16	3	$70,000.00 	$21,750.00 	65	19	0
450	m	19	3	$55,000.00 	$34,980.00 	65	129	0
451	m	15	1	$28,500.00 	$14,250.00 	65	20	0
452	m	12	1	$28,800.00 	$18,000.00 	65	210	0
453	m	15	1	$24,450.00 	$15,750.00 	65	338	0
454	m	19	3	$90,625.00 	$31,250.00 	65	18	0
455	m	16	3	$43,650.00 	$19,500.00 	65	19	0
456	m	19	3	$75,000.00 	$42,510.00 	65	54	0
457	m	15	1	$31,650.00 	$14,250.00 	65	10	0
458	m	19	3	$61,875.00 	$28,740.00 	65	26	0
459	f	12	1	$21,750.00 	$11,250.00 	65	0	0
460	f	12	1	$22,500.00 	$12,750.00 	65	24	0
461	f	8	1	$21,600.00 	$13,500.00 	65	173	0
462	f	16	3	$34,410.00 	$19,500.00 	65	79	0
463	f	15	1	$20,700.00 	$14,250.00 	65	241	0
464	m	19	3	$47,550.00 	$33,000.00 	64	27	0
465	m	12	1	$33,900.00 	$16,500.00 	64	106	0
