sex	age	height	weight
F	14.8	149.9	43.1
F	17.7	155.7	36.7
F	17.1	156.2	41.3
F	17.2	164.6	64.4
F	19	144.3	44.7
F	18.3	168.9	50.8
F	14.3	156.2	52.8
F	17.9	160	44.7
F	18.6	144.8	37.9
F	18.2	166.4	60.3
F	18.2	157.5	41.5
F	14.2	142.2	32.9
F	16.5	155.7	48.3
F	16.5	141	30.4
F	15.4	154.9	55.6
F	15	138.4	33.6
F	15.5	167.6	65.5
F	16.3	143.5	38.1
F	14.1	142.2	32.9
F	14.7	130.8	29
F	21	157.5	52.6
F	17.1	160	38.1
F	16.7	154.9	42.4
F	18.2	162.6	50.6
F	14.4	154.9	41.7
F	19.3	151.9	52.2
F	14.1	155.7	38.6
F	16.4	160.8	49
F	18.6	161.3	49
F	16.9	156.2	38.6
F	17.5	153.2	39
F	18	155.7	50.1
M	16.5	164.6	44.5
M	15.7	153.7	47.6
M	14.4	145.5	34.7
M	15	151.1	38.1
M	15	154.4	58.1
M	13.9	153.7	39.5
M	18.9	170.2	58.1
M	18.3	164.6	50.3
M	14.7	128.3	35.8
M	14.6	146.1	40.8
M	16	153.7	38.1
M	15.6	157	50.8
M	17.3	155.7	42.2
M	15.1	168.4	53.1
M	14.1	135.4	38.1
M	15	149.9	45.1
M	16.4	146.8	43.1
M	15.3	152.4	38.1
M	20.6	173.5	60.8
M	25	171.5	77.8
M	17.6	162.1	44.7
M	17.6	165.1	53.8
M	14	151.1	42.9
M	18.5	167.6	47.6
M	18	157	47.2
M	14.6	145.5	37.6
M	18.3	167.6	47.9
M	14	143.5	38.1
M	15.1	148.1	39
M	15.1	154.9	36.7
M	14.4	159.5	42.6
M	16	150.6	35.6
M	17.8	170.9	54.2
M	19.3	168.4	60.3
M	16.2	163.8	54
M	16.4	153.7	43.1
M	18.6	167.6	50.8
M	14.3	146.1	34
M	17.5	162.6	41.7
M	17.5	172.7	50.8
M	17.5	161.3	44.7
M	17.3	175.3	51
M	17	162.1	51
M	17.4	167.6	49
M	16.4	161.3	49
M	14.4	151.1	39.9
M	15.6	168.4	48.1
M	14.9	144.8	41.7
M	14.4	152.4	53.3
M	14.7	144.8	38.1
M	18.8	170.9	50.8
M	16.9	157.5	45.4
M	17.2	165.1	50.8
M	15	151.1	38.1
M	19.3	172.2	57.8
M	15.7	147.3	36.5
M	16.8	152.4	42.4
M	14	148.6	39.2
M	15.6	148.1	42
M	15.6	156.2	49.2
M	15.8	165.1	54.9
M	18.4	168.9	50.8
M	15.6	174	51.7
M	14.4	144.8	38.1
M	17.6	156.2	36.7
M	16.8	168.9	50.6
M	14.9	133.4	36.7
M	14.2	139.7	31.8
M	18.8	180.3	63.5
M	20.3	168.9	53.1
M	14.2	149.4	38.1
M	18.9	168.4	50.8
M	18.8	167.1	68.3
M	20	180.3	66.7
M	15.2	151.1	47.6
M	17.4	177.3	54.2
M	16.6	158.8	38.1
M	14.5	143.5	41.3
M	14.3	146.1	45.8
M	16.3	165.9	53.3
M	16.6	170.9	54.9
M	18.2	170.2	60.3
M	17.3	167.6	50.8
M	15.5	157	41.5
M	16.2	152.4	47.6
M	17.7	160	50.3
M	17.7	153.7	50.8
M	17.5	166.4	51.7
M	16.6	157.5	41.3
M	15	149.9	44.5
M	15	157	53.5
M	18.8	160.8	52.4
M	16.3	167.6	50.8
M	17.1	157	50.8
M	16.2	160	41.3
M	14.1	146.1	38.6
M	17.4	160	50.8
M	14.2	142.2	39.7
M	14.8	153.7	53.5
M	14	144.3	37.9
M	16	162.6	52.6
M	14.4	152.4	40.4
M	20.6	176.5	77.8
M	15.9	160.8	50.8
M	14.9	143	32.7
M	19.3	182.9	68
M	19.4	165.9	61
M	15.2	154.4	44
M	14.6	139.7	32.4
M	13.9	139.7	33.3
M	18.6	168.9	50.8
M	16.1	144.3	34
M	15.3	164.6	58.1
M	19.6	163.8	44.5
M	16.4	147.3	38.1
M	15.9	159.5	44.9
M	17.8	162.1	50.8
M	15.3	146.8	36.1
M	15.5	145.5	36.5
M	17.8	161.3	46.5
M	14.2	139.7	34.5
M	16.4	168.9	50.8
M	18.9	165.1	51.7
M	16.4	156.2	63.5
M	16.7	157.5	48.8
M	15.1	150.6	39.5
